model,modality,severity,route,driving_score,route_completion,infraction_penalty,status,town,num_infractions,seconds,ticks,distance_m,stationary_frac
rung2ad_recipe,none,0,27515.xml,17.5595,50.17,0.35,Failed - Agent deviated from the route,Town03,11,139.6,296,67.6,0.105
rung2ad_recipe,none,0,27532.xml,52.56,52.56,1.0,Failed - Agent deviated from the route,Town11,10,144.7,282,64.5,0.085
rung2ad_recipe,none,0,27582.xml,33.683,51.82,0.65,Failed - Agent got blocked,Town11,10,381.7,1561,42.0,0.877
rung2ad_recipe,none,0,28035.xml,70.0,100,0.7,Completed,Town01,20,176.9,419,120.3,0.024
rung2ad_recipe,none,0,28154.xml,58.92,58.92,1.0,Failed - Agent deviated from the route,Town10HD,12,211.4,547,114.5,0.247
rung2ad_recipe,lidar,1.0,10857.xml,53.98,53.98,1.0,Failed - Agent deviated from the route,Town12,10,263.8,271,67.7,0.044
rung2ad_recipe,lidar,1.0,11715.xml,42.0,100,0.42,Completed,Town12,21,198.2,246,87.3,0.041
rung2ad_recipe,lidar,1.0,11755.xml,65.0,100,0.65,Completed,Town12,18,250.1,511,81.7,0.445
rung2ad_recipe,lidar,1.0,14194.xml,100.0,100,1.0,Completed,Town12,20,1070.8,2860,75.9,0.892
rung2ad_recipe,lidar,1.0,23901.xml,100.0,100.0,1.0,Completed,Town13,21,335.2,483,174.2,0.021
rung2ad_recipe,lidar,1.0,24071.xml,100.0,100,1.0,Completed,Town13,21,167.5,235,154.9,0.077
rung2ad_recipe,lidar,1.0,24092.xml,100.0,100,1.0,Completed,Town13,20,149.1,201,149.9,0.05
rung2ad_recipe,lidar,1.0,24224.xml,100.0,100,1.0,Completed,Town02,20,199.5,468,132.4,0.199
rung2ad_recipe,lidar,1.0,24258.xml,42.620025,100,0.4262,Completed,Town07,21,167.4,380,131.6,0.026
rung2ad_recipe,lidar,1.0,24294.xml,17.075562,98.06,0.174134,Failed - Agent got blocked,Town02,23,615.1,2351,103.6,0.84
rung2ad_recipe,lidar,1.0,24340.xml,36.0,100,0.36,Completed,Town10HD,21,166.2,330,98.1,0.03
rung2ad_recipe,lidar,1.0,24795.xml,100.0,100,1.0,Completed,Town04,20,175.3,423,142.6,0.064
rung2ad_recipe,lidar,1.0,24841.xml,18.896369,34.41,0.549153,Failed - Agent got blocked,Town01,9,442.8,1368,47.0,0.887
rung2ad_recipe,lidar,1.0,25300.xml,60.0,100,0.6,Completed,Town04,20,176.8,383,153.6,0.026
rung2ad_recipe,lidar,1.0,25439.xml,100.0,100,1.0,Completed,Town15,18,160.4,392,129.4,0.056
rung2ad_recipe,lidar,1.0,25845.xml,60.0,100,0.6,Completed,Town15,20,680.5,2143,108.8,0.812
rung2ad_recipe,lidar,1.0,25854.xml,8.5345,13.13,0.65,Failed - TickRuntime,Town03,3,1307.9,3999,18.9,0.984
rung2ad_recipe,lidar,1.0,25857.xml,26.8645,41.33,0.65,Failed - TickRuntime,Town05,8,1224.8,3999,54.4,0.96
rung2ad_recipe,lidar,1.0,25928.xml,52.04,52.04,1.0,Failed - TickRuntime,Town11,8,947.2,3999,53.6,0.962
rung2ad_recipe,lidar,1.0,25951.xml,100.0,100,1.0,Completed,Town04,20,239.4,614,135.8,0.116
rung2ad_recipe,lidar,1.0,25968.xml,34.11,34.11,1.0,Failed - Agent deviated from the route,Town07,7,272.8,840,47.7,0.777
rung2ad_recipe,lidar,1.0,26405.xml,20.892,34.82,0.6,Failed - Agent got blocked,Town15,7,741.5,3255,48.1,0.935
rung2ad_recipe,lidar,1.0,26406.xml,36.0,100,0.36,Completed,Town04,22,158.9,640,145.5,0.315
