model,condition,frame,l2
rung3,none:0,143,0.39991050958633423
rung3,none:0,144,0.22359487414360046
rung3,none:0,145,0.11260157823562622
rung3,none:0,146,0.19754138588905334
rung3,none:0,147,0.38938409090042114
rung3,none:0,148,0.2954242527484894
rung3,none:0,149,0.15572601556777954
rung3,none:0,150,0.11718134582042694
rung3,none:0,151,0.41060563921928406
rung3,none:0,152,0.23636029660701752
rung3,none:0,153,0.1583893746137619
rung3,none:0,154,0.15397599339485168
rung3,none:0,155,1.123578429222107
rung3,none:0,156,1.1343703269958496
rung3,none:0,157,1.024623155593872
rung3,none:0,158,0.9180346131324768
rung3,none:0,159,0.5619741082191467
rung3,none:0,160,0.4185939431190491
rung3,none:0,161,0.2169596552848816
rung3,none:0,162,0.18907424807548523
rung3,none:0,163,0.12873253226280212
rung3,none:0,164,0.20111554861068726
rung3,none:0,165,0.384713739156723
rung3,none:0,166,0.4805283546447754
rung3,none:0,167,0.3240112066268921
rung3,none:0,168,0.3271130919456482
