model,modality,severity,route,driving_score,route_completion,infraction_penalty,status,town,num_infractions,seconds,ticks,distance_m,stationary_frac
rung0_lead,none,0,26956.xml,20.039558,39.05,0.513177,Failed - TickRuntime,Town05,9,693.4,3999,31.7,0.971
rung0_lead,none,0,27515.xml,9.501479,46.23,0.205526,Failed - TickRuntime,Town03,12,672.2,3999,57.9,0.923
rung0_lead,none,0,27532.xml,19.770132,100,0.197701,Completed,Town11,21,114.8,418,68.7,0.386
rung0_lead,none,0,27582.xml,12.05295,52.98,0.2275,Failed - Agent got blocked,Town11,13,225.5,1383,40.3,0.88
rung0_lead,none,0,28035.xml,4.812886,41.48,0.116029,Failed - TickRuntime,Town01,12,736.3,3999,52.7,0.871
rung0_lead,none,0,28154.xml,27.22,27.22,1.0,Failed - TickRuntime,Town10HD,5,840.9,3999,42.9,0.954
rung0_lead,lidar,1.0,10857.xml,9.01519,39.96,0.225605,Failed - Agent got blocked,Town12,12,478.7,1330,32.6,0.911
rung0_lead,lidar,1.0,11715.xml,,,,NoResult,,,2700.1,1000,52.6,0.804
rung0_lead,lidar,1.0,11755.xml,9.064496,49.38,0.183566,Failed - Agent deviated from the route,Town12,13,184.9,514,72.3,0.429
rung0_lead,lidar,1.0,14194.xml,10.819677,52.7,0.205307,Failed - Agent got blocked,Town12,14,427.8,1555,42.1,0.826
rung0_lead,lidar,1.0,23901.xml,8.994361,22.92,0.392424,Failed - Agent got blocked,Town13,6,358.7,1339,36.9,0.906
rung0_lead,lidar,1.0,24071.xml,,,,NoResult,,,2700.2,600,20.1,0.875
rung0_lead,lidar,1.0,24092.xml,6.062836,11.98,0.50608,Failed - TickRuntime,Town13,4,1176.7,3999,21.9,0.982
rung0_lead,lidar,1.0,24224.xml,13.809439,33.36,0.413952,Failed - Agent got blocked,Town02,9,336.1,1370,47.7,0.885
rung0_lead,lidar,1.0,24258.xml,6.800476,48.1,0.141382,Failed - TickRuntime,Town07,10,1001.1,3999,68.3,0.951
rung0_lead,lidar,1.0,24294.xml,8.195775,60.24,0.136052,Failed - Agent got blocked,Town02,15,700.0,3359,68.6,0.856
rung0_lead,lidar,1.0,24340.xml,26.229968,55.19,0.475267,Failed - Agent got blocked,Town10HD,12,366.6,1440,61.4,0.843
rung0_lead,lidar,1.0,24795.xml,7.822229,33.11,0.23625,Failed - TickRuntime,Town04,9,674.2,3999,49.3,0.95
rung0_lead,lidar,1.0,24841.xml,10.025925,23.73,0.4225,Failed - Agent got blocked,Town01,7,574.5,2533,33.3,0.908
rung0_lead,lidar,1.0,25300.xml,6.982427,21.23,0.328894,Failed - TickRuntime,Town04,6,1057.5,3999,34.2,0.96
rung0_lead,lidar,1.0,25439.xml,11.205303,67.11,0.166969,Failed - TickRuntime,Town15,13,2389.4,3999,85.1,0.932
rung0_lead,lidar,1.0,25845.xml,13.0455,20.07,0.65,Failed - TickRuntime,Town15,4,1035.9,3999,22.2,0.975
