model,modality,severity,route,driving_score,route_completion,infraction_penalty,status,town,num_infractions,seconds,ticks,distance_m,stationary_frac
ref0,none,0,23695.xml,100.0,100,1.0,Completed,Town13,21,138.5,255,154.8,0.039
post31,none,0,23918.xml,93.36,93.36,1.0,Failed - Agent deviated from the route,Town13,18,181.9,354,131.8,0.028
rung2a_recipe,none,0,23918.xml,48.211833,76.28,0.632038,Failed - Agent got blocked,Town13,17,525.3,1526,105.2,0.793
rung2ad_recipe,none,0,23918.xml,91.88,91.88,1.0,Failed - Agent deviated from the route,Town13,18,155.1,360,130.5,0.028
rung3_recipe,none,0,23918.xml,56.016,93.36,0.6,Failed - Agent deviated from the route,Town13,19,161.6,380,132.4,0.026
ref0,none,0,23918.xml,100.0,100,1.0,Completed,Town13,20,169.8,427,133.3,0.023
post31,none,0,24041.xml,19.850789,97.49,0.203619,Failed - Agent got blocked,Town13,25,439.8,1763,159.4,0.716
rung2a_recipe,none,0,24041.xml,50.084773,91.22,0.549055,Failed - Agent got blocked,Town13,20,489.8,1675,149.4,0.722
rung2ad_recipe,none,0,24041.xml,99.372726,100.0,0.993727,Completed,Town13,23,249.3,557,174.4,0.018
rung3_recipe,none,0,24041.xml,50.084775,97.49,0.513743,Failed - Agent got blocked,Town13,23,890.8,2975,159.4,0.824
ref0,none,0,24041.xml,100.0,100,1.0,Completed,Town13,21,285.0,456,160.5,0.022
post31,none,0,24206.xml,5.597868,100,0.055979,Completed,Town03,26,661.6,1912,134.7,0.565
rung2a_recipe,none,0,24206.xml,10.646668,95.49,0.111495,Failed - Agent got blocked,Town03,24,506.3,1602,126.9,0.755
rung2ad_recipe,none,0,24206.xml,9.420035,28.18,0.334281,Failed - Agent got blocked,Town03,8,629.4,1751,37.9,0.847
rung3_recipe,none,0,24206.xml,0.623368,60.91,0.010234,Failed - TickRuntime,Town03,18,1457.4,3999,92.7,0.802
ref0,none,0,24206.xml,100.0,100,1.0,Completed,Town03,20,291.8,756,132.2,0.289
post31,none,0,24211.xml,50.0,100,0.5,Completed,Town01,19,172.1,417,132.5,0.026
rung2a_recipe,none,0,24211.xml,50.0,100,0.5,Completed,Town01,19,171.8,416,132.4,0.024
rung2ad_recipe,none,0,24211.xml,50.0,100,0.5,Completed,Town01,19,171.0,407,132.6,0.025
rung3_recipe,none,0,24211.xml,50.0,100,0.5,Completed,Town01,19,166.4,385,132.8,0.026
ref0,none,0,24211.xml,100.0,100,1.0,Completed,Town01,18,178.8,440,132.9,0.178
post31,none,0,24240.xml,34.649199,52.91,0.654871,Failed - Agent deviated from the route,Town10HD,11,158.5,239,75.0,0.042
rung2a_recipe,none,0,24240.xml,23.264752,42.64,0.545609,Failed - TickRuntime,Town10HD,9,1743.9,3999,45.5,0.963
rung2ad_recipe,none,0,24240.xml,91.731871,100,0.917319,Completed,Town10HD,20,198.2,329,100.1,0.03
rung3_recipe,none,0,24240.xml,60.0,100,0.6,Completed,Town10HD,20,195.9,322,100.5,0.031
ref0,none,0,24240.xml,100.0,100,1.0,Completed,Town10HD,19,212.8,366,98.9,0.033
post31,none,0,24252.xml,21.703661,100,0.217037,Completed,Town11,22,200.1,522,134.2,0.165
rung2a_recipe,none,0,24252.xml,46.971822,100,0.469718,Completed,Town11,22,147.4,475,133.0,0.03
rung2ad_recipe,none,0,24252.xml,41.71538,100,0.417154,Completed,Town11,21,141.8,524,133.7,0.101
rung3_recipe,none,0,24252.xml,54.584036,100,0.54584,Completed,Town11,21,136.7,513,134.0,0.168
ref0,none,0,24252.xml,100.0,100,1.0,Completed,Town11,20,131.2,510,133.0,0.157
