model,modality,severity,route,driving_score,route_completion,infraction_penalty,status,town,num_infractions,seconds,ticks,distance_m,stationary_frac
ref0,none,0,23910.xml,100.0,100,1.0,Completed,Town12,19,117.3,218,105.6,0.046
diverse,none,0,2416.xml,28.28,35.35,0.8,Failed - Agent deviated from the route,Town12,8,100.2,175,48.3,0.057
ref0,none,0,2416.xml,100.0,100,1.0,Completed,Town12,20,126.3,308,57.4,0.3
diverse,none,0,2509.xml,100.0,100,1.0,Completed,Town12,20,142.9,351,136.6,0.129
ref0,none,0,2509.xml,100.0,100,1.0,Completed,Town12,20,175.5,396,135.6,0.038
diverse,none,0,2534.xml,100.0,100,1.0,Completed,Town12,19,134.5,365,134.3,0.027
ref0,none,0,2534.xml,100.0,100,1.0,Completed,Town12,19,152.6,459,134.1,0.07
diverse,none,0,2554.xml,23.652,39.42,0.6,Failed - TickRuntime,Town12,7,847.3,3999,60.1,0.944
ref0,none,0,2554.xml,100.0,100,1.0,Completed,Town12,18,148.3,458,133.9,0.149
diverse,none,0,25863.xml,70.0,100,0.7,Completed,Town07,18,129.9,450,84.3,0.256
ref0,none,0,25863.xml,100.0,100,1.0,Completed,Town07,17,182.5,792,84.1,0.604
diverse,none,0,25975.xml,35.8,35.8,1.0,Failed - Agent deviated from the route,Town07,6,241.1,1024,45.4,0.835
ref0,none,0,25975.xml,100.0,100,1.0,Completed,Town07,19,73.3,185,53.1,0.054
diverse,none,0,2606.xml,25.623,39.42,0.65,Failed - TickRuntime,Town12,7,875.9,3999,53.4,0.95
