model,stage,epoch,train_objective
deformable + curriculum v2,posttrain,24,0.18641028686483743
deformable + curriculum v2,posttrain,25,0.17463929251941104
deformable + curriculum v2,posttrain,26,0.16829936330770365
deformable + curriculum v2,posttrain,27,0.1638583723065368
deformable + curriculum v2,posttrain,28,0.16355144010358078
deformable + curriculum v2,posttrain,29,0.1703362689690064
deformable + curriculum v2,posttrain,30,0.15706147678359042
dense + curriculum v2,pretrain,0,0.9898898857782873
dense + curriculum v2,pretrain,1,0.7256525820056069
dense + curriculum v2,pretrain,2,0.5444440996005285
dense + curriculum v2,pretrain,3,0.5366512535293192
dense + curriculum v2,pretrain,4,0.46311179001888475
dense + curriculum v2,pretrain,5,0.40107027683773977
dense + curriculum v2,pretrain,6,0.36735533148586047
dense + curriculum v2,pretrain,7,0.4130729061387707
dense + curriculum v2,pretrain,8,0.3747948123253704
dense + curriculum v2,pretrain,9,0.34995340846975714
dense + curriculum v2,pretrain,10,0.3103167286388414
dense + curriculum v2,pretrain,11,0.3067334720833036
dense + curriculum v2,pretrain,12,0.27623417485286056
dense + curriculum v2,pretrain,13,0.26310901192331776
dense + curriculum v2,pretrain,14,0.2600545368712382
dense + curriculum v2,pretrain,15,0.3020557295539172
dense + curriculum v2,pretrain,16,0.30064085258516715
dense + curriculum v2,pretrain,17,0.28202098159041317
dense + curriculum v2,pretrain,18,0.2622718250374156
dense + curriculum v2,pretrain,19,0.26760868113243114
dense + curriculum v2,pretrain,20,0.24467592963037532
dense + curriculum v2,pretrain,21,0.22740536361953004
dense + curriculum v2,pretrain,22,0.23255287563713528
dense + curriculum v2,pretrain,23,0.2175033001887737
dense + curriculum v2,pretrain,24,0.20924545242503786
dense + curriculum v2,pretrain,25,0.19435593434352288
dense + curriculum v2,pretrain,26,0.19689333143037402
dense + curriculum v2,pretrain,27,0.18777737610776057
dense + curriculum v2,pretrain,28,0.18504111387035568
dense + curriculum v2,pretrain,29,0.18449035437519293
dense + curriculum v2,pretrain,30,0.18079023416963105
dense + curriculum v2,posttrain,0,0.41245347087245887
dense + curriculum v2,posttrain,1,0.3826400597559869
dense + curriculum v2,posttrain,2,0.3063541703613068
dense + curriculum v2,posttrain,3,0.3477513335374043
dense + curriculum v2,posttrain,4,0.3017615063544701
dense + curriculum v2,posttrain,5,0.2694500853162178
dense + curriculum v2,posttrain,6,0.248056514086824
dense + curriculum v2,posttrain,7,0.2969051203536108
dense + curriculum v2,posttrain,8,0.28493897204852786
dense + curriculum v2,posttrain,9,0.27157135737930577
dense + curriculum v2,posttrain,10,0.24440758655594116
dense + curriculum v2,posttrain,11,0.21685343706787485
dense + curriculum v2,posttrain,12,0.2131303330638596
dense + curriculum v2,posttrain,13,0.20412273210358003
dense + curriculum v2,posttrain,14,0.20453033394799416
dense + curriculum v2,posttrain,15,0.24647040226146702
dense + curriculum v2,posttrain,16,0.24907137319975364
dense + curriculum v2,posttrain,17,0.24332732348174582
dense + curriculum v2,posttrain,18,0.23236779110533567
dense + curriculum v2,posttrain,19,0.2262288760338025
dense + curriculum v2,posttrain,20,0.21991000462366414
dense + curriculum v2,posttrain,21,0.20483428813003635
dense + curriculum v2,posttrain,22,0.19810379300837908
dense + curriculum v2,posttrain,23,0.18123696472774656
dense + curriculum v2,posttrain,24,0.18267172556501438
dense + curriculum v2,posttrain,25,0.1774101421068129
dense + curriculum v2,posttrain,26,0.17125231351394632
dense + curriculum v2,posttrain,27,0.16358591200188735
dense + curriculum v2,posttrain,28,0.1671286998871638
dense + curriculum v2,posttrain,29,0.16636428293100558
dense + curriculum v2,posttrain,30,0.1609103609940736
