26-10-13 10:12:03 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:03 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:03 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:03 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:03 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:04 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:04 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:05 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:05 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:05 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:05 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:05 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:05 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:05 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:05 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:06 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:06 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:07 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:08 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:08 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:10 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:12 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:12 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:14 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:15 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:15 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:15 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:15 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:16 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:16 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:16 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:16 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:16 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:16 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:16 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:17 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:17 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
26-10-13 10:12:17 [WARNING] [../../miniconda3/envs/lead/lib/python3.10/site-packages/py123d/api/utils/arrow_metadata_utils.py:216] Skipping 'route_position.arrow': 'ROUTE_POSITION'
